zone_id,latitude,longitude,fetched_at,data_source,rainfall_30min,rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,rainfall_3day,rainfall_7day
Z_28.5_92.0,28.5,92.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.3,3.6,4.0,13.6,37.4
Z_28.5_92.5,28.5,92.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.2,0.3,0.3,0.4,1.6,2.3,10.0,29.1
Z_28.5_93.5,28.5,93.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.1,0.7,0.9,0.9,2.0,2.9,17.6,33.5
Z_28.5_93.0,28.5,93.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.1,0.2,0.3,0.3,1.1,1.2,9.9,36.7
Z_28.5_94.5,28.5,94.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.1,0.2,1.6,1.6,71.2,311.7
Z_28.5_94.0,28.5,94.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.0,1.0,1.6,11.1,33.4
Z_28.5_96.0,28.5,96.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.9,1.1,1.8,1.8,3.9,4.6,22.8,83.4
Z_28.5_95.5,28.5,95.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.0,5.0,6.1,12.5,41.9
Z_28.5_95.0,28.5,95.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.0,0.6,0.6,5.2,40.7
Z_28.5_96.5,28.5,96.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.4,1.5,2.0,2.5,7.4,11.3,25.4,61.5
Z_28.5_97.5,28.5,97.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.8,1.6,1.7,1.9,8.2,8.9,26.9,44.4
Z_28.5_97.0,28.5,97.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.5,0.8,1.3,1.3,2.5,4.3,8.7,18.7
Z_29.0_88.0,29.0,88.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.1,0.2,0.8,2.2,7.0,7.1,9.6,19.3
Z_29.0_88.5,29.0,88.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),1.1,1.8,3.2,3.4,5.7,9.0,20.2,42.4
Z_29.0_89.0,29.0,89.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.1,0.8,3.8,4.0,8.7,35.3
Z_29.0_89.5,29.0,89.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.5,3.8,3.9,13.6,37.4
Z_29.0_90.5,29.0,90.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.2,0.3,2.1,2.8,3.2,4.8,9.4,38.7
Z_29.0_90.0,29.0,90.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.7,1.0,1.8,5.3,6.5,8.6,21.9,42.0
Z_29.0_91.0,29.0,91.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.0,0.5,0.7,5.2,21.8
Z_29.0_92.0,29.0,92.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.1,3.7,3.9,10.7,40.3
Z_29.0_91.5,29.0,91.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.4,1.7,1.9,10.8,40.5
Z_29.0_92.5,29.0,92.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),2.6,3.6,4.5,5.9,8.8,9.1,17.0,48.1
Z_29.0_93.0,29.0,93.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.0,0.7,0.9,7.3,34.7
Z_29.0_93.5,29.0,93.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.0,1.3,1.3,4.4,13.9
Z_29.0_94.0,29.0,94.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.0,1.0,1.9,22.5,74.4
Z_29.0_94.5,29.0,94.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.9,1.5,1.8,1.9,3.1,3.8,39.8,126.1
Z_29.0_95.5,29.0,95.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.4,10.3,10.8,29.6,61.6
Z_29.0_95.0,29.0,95.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),1.6,2.4,2.5,2.7,3.2,10.1,30.3,106.2
Z_29.0_96.0,29.0,96.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.0,0.6,1.1,4.1,13.2
Z_29.0_96.5,29.0,96.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.0,0.0,0.0,0.0,0.7,2.3,6.1,17.8
Z_29.0_97.0,29.0,97.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),1.0,2.0,2.1,2.1,4.8,10.5,28.2,40.5
Z_29.5_88.0,29.5,88.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.7,1.1,1.9,2.8,3.8,15.7,21.7,41.7
Z_29.0_97.5,29.0,97.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.1,0.1,0.1,0.2,1.7,3.7,7.2,12.2
Z_29.5_88.5,29.5,88.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.4,1.4,3.6,5.0,6.2,14.8,23.1,55.6
Z_29.5_89.0,29.5,89.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),3.5,3.9,4.3,5.1,10.9,21.7,36.6,77.2
Z_29.5_89.5,29.5,89.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.2,1.1,2.8,2.9,5.3,6.2,14.6,30.0
Z_29.5_90.0,29.5,90.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.2,0.7,1.4,3.0,5.9,7.3,12.8,28.8
Z_29.5_90.5,29.5,90.5,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),1.1,1.7,2.0,2.8,8.4,9.6,22.2,47.3
Z_29.5_91.0,29.5,91.0,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless),0.9,3.3,7.2,7.5,7.8,8.2,21.5,60.1
