zone_id,latitude,longitude,soil_moisture_0_7cm,soil_moisture_7_28cm,fetched_at,data_source
Z_29.0_90.5,29.0,90.5,0.393,0.379,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.0_90.0,29.0,90.0,0.427,0.424,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.0_91.0,29.0,91.0,0.302,0.296,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.0_92.0,29.0,92.0,0.395,0.392,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.0_91.5,29.0,91.5,0.35,0.345,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.0_92.5,29.0,92.5,0.312,0.268,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.0_93.0,29.0,93.0,0.347,0.358,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.0_93.5,29.0,93.5,0.272,0.294,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.0_94.0,29.0,94.0,0.402,0.408,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.0_94.5,29.0,94.5,0.401,0.402,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.0_95.5,29.0,95.5,0.408,0.409,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.0_95.0,29.0,95.0,0.409,0.406,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.0_96.0,29.0,96.0,0.342,0.356,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.0_96.5,29.0,96.5,0.351,0.363,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.0_97.0,29.0,97.0,0.415,0.396,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.5_88.0,29.5,88.0,0.41,0.409,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.0_97.5,29.0,97.5,0.384,0.384,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.5_88.5,29.5,88.5,0.418,0.398,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
Z_29.5_89.0,29.5,89.0,0.417,0.417,2026-09-10T06:09:21Z,Open-Meteo forecast (ERA5-seamless)
